"data";"tipo";"num_convenio";"cod_tci";"uf";"secretaria";"campo";"valor_anterior";"valor_atual"
"2026-04-08";"Alterado";"986693";"1-2142034";"ES";"SNP";"situacao_da_analise_suspensiva";"Análise iniciada";"Analisada com pendências"
"2026-04-08";"Alterado";"986697";"1-2142687";"AL";"SNP";"vencimento_da_suspensiva";"2026-05-30";"2026-08-31"
"2026-04-08";"Alterado";"986697";"1-2142687";"AL";"SNP";"urgencia_suspensiva";"31–90 dias";"Mais de 90 dias"
"2026-04-08";"Alterado";"991668";"1-2164255";"PA";"SNSA";"situacao_da_analise_suspensiva";"Análise não iniciada";"Análise iniciada"
"2026-04-08";"Alterado";"991675";"1-2164574";"SP";"SNSA";"situacao_da_analise_suspensiva";"Analisada com pendências";"Análise não iniciada"
"2026-04-10";"Novo";"994628";"1-2106045";"SP";"SNP";"";"";""
"2026-04-10";"Alterado";"964485";"1-1984603";"SC";"SNP";"vencimento_da_suspensiva";"2026-04-28";"2026-04-29"
"2026-04-10";"Alterado";"964507";"1-1990139";"SC";"SNP";"vencimento_da_suspensiva";"2026-04-27";"2026-04-29"
"2026-04-10";"Alterado";"964937";"1-1991211";"PE";"SNP";"vencimento_da_suspensiva";"2026-04-21";"2026-04-29"
"2026-04-10";"Alterado";"964941";"1-1991547";"PE";"SNP";"situacao_da_analise_suspensiva";"Análise iniciada";"Analisada com pendências"
"2026-04-10";"Alterado";"964941";"1-1991547";"PE";"SNP";"vencimento_da_suspensiva";"2026-02-28";"2026-04-29"
"2026-04-10";"Alterado";"964941";"1-1991547";"PE";"SNP";"urgencia_suspensiva";"Vencida";"Próximos 30 dias"
"2026-04-10";"Alterado";"964942";"1-1990694";"RN";"SNP";"vencimento_da_suspensiva";"2026-04-28";"2026-04-29"
"2026-04-10";"Alterado";"964944";"1-1991882";"RN";"SNP";"vencimento_da_suspensiva";"2026-04-30";"2026-04-29"
"2026-04-10";"Alterado";"964953";"1-1985135";"MG";"SNP";"vencimento_da_suspensiva";"2026-04-30";"2026-04-29"
"2026-04-10";"Alterado";"964966";"1-1991139";"BA";"SNP";"situacao_da_analise_suspensiva";"Análise não iniciada";"Análise iniciada"
"2026-04-10";"Alterado";"964972";"1-1983086";"ES";"SNP";"dte_publicacao_licitacao";"";"2026-04-06"
"2026-04-10";"Alterado";"964972";"1-1983086";"ES";"SNP";"dte_homologacao_licitacao";"";"2026-10-14"
"2026-04-10";"Alterado";"964972";"1-1983086";"ES";"SNP";"flag_publicacao_licitacao";"NAO";"SIM"
"2026-04-10";"Alterado";"964972";"1-1983086";"ES";"SNP";"flag_homologacao_licitacao";"NAO";"SIM"
"2026-04-10";"Alterado";"964972";"1-1983086";"ES";"SNP";"ultima_data_relevante";"2026-02-12";"2026-10-14"
"2026-04-10";"Alterado";"964972";"1-1983086";"ES";"SNP";"fase_atual";"LAE";"HOMOLOGACAO"
"2026-04-10";"Alterado";"964972";"1-1983086";"ES";"SNP";"dias_ate_publicacao";"";"53"
"2026-04-10";"Alterado";"964972";"1-1983086";"ES";"SNP";"dias_publicacao_ate_homologacao";"";"191"
"2026-04-10";"Alterado";"964972";"1-1983086";"ES";"SNP";"prazo_homolog_licitacao";"";"2026-08-04"
